horizon_seconds,train_runs,test_run,model,train_rows,test_rows,mae_tower,mae_treated,mae_raw,avg_mae,avg_rmse,overall_r2
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Ridge Regression,3189,819,28.380689480127174,29.166196999243095,6.298999670420623,21.281962049930296,27.46394173225391,0.8939317302683104
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Random Forest,3189,819,46.31125556209229,64.65185784545035,168.829331903164,93.2641484369022,101.39411030716451,-0.6322526738515043
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Persistence (no change),3404,604,30.39072847682119,28.0364238410596,11.756622516556291,23.39459161147903,30.882427838302693,0.7962761656372122
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Mean Predictor,3404,604,159.95389967782444,231.41150457973382,37.681928545303215,143.0157776009538,155.99901184464792,-4.859192275760215
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Linear Regression,3404,604,20.979633557879225,42.525805468605576,13.412773822273435,25.63940428291941,30.69390357629924,0.7758720227281278
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Ridge Regression,3404,604,20.987857728682528,42.47432268044833,13.350265691822836,25.604148700317896,30.645561433354334,0.776488394692991
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Random Forest,3404,604,83.09146021281089,41.40763783144209,15.029058601638628,46.50938554863054,58.89775678436098,0.1313833971098301
120,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Persistence (no change),3041,607,27.789126853377265,115.86408566721582,18.182866556836903,53.945359692476664,101.59869229367291,0.29068693350949476
120,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Mean Predictor,3041,607,54.074721800413826,324.21745263929995,50.167212023270274,142.81979548766137,164.4781571977165,-0.9600086812069144
120,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Linear Regression,3041,607,54.77195912277598,135.2640681608403,18.671236284601,69.56908785607244,100.37150639148744,0.34083318344911007
120,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Ridge Regression,3041,607,54.651739706510675,135.42220896410296,18.671687740098694,69.58187880357077,100.29708220123717,0.34175023821896167
120,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Random Forest,3041,607,48.241961572996225,244.5986119197996,74.5278833803266,122.45615229104082,130.90046545590283,0.0194205515868175
120,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Persistence (no change),3402,246,67.26219512195122,25.5630081300813,45.010162601626014,45.94512195121951,61.48061495429449,-0.6618289973710114
120,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Mean Predictor,3402,246,66.84353058698132,19.94314917575988,35.11478542034098,40.63382172769406,56.301197812481156,-0.4693294314097097
120,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Linear Regression,3402,246,63.2831163370631,32.88016252867617,19.496602367809416,38.55329374451623,56.05283278723291,-0.377283989215924
120,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Ridge Regression,3402,246,63.26854993721361,32.78852064432706,19.465839452012766,38.507636677851146,55.99510602674574,-0.37512756114988927
